filename,url,md5
NHD_H_0208_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956b5bde4b0d1f9f050dc0a?f=__disk__7b%2Fd4%2F7b%2F7bd47b6addb8e714e6f4f2f30aad25cf95ec7987,2c6c3c63135e2d705b45acee1325dc7e
NHD_H_0301_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956b63fe4b0d1f9f050dc17?f=__disk__ad%2Fc5%2F93%2Fadc593aad142f575f8aa967d3358da3e7aef6153,9c3e46e63c621aeb7467790ff06b4bcb
NHD_H_0302_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956b6cde4b0d1f9f050dc21?f=__disk__d2%2F0c%2Fec%2Fd20cec243c25a3edf9b8687d0dbb220064669319,d32c38ae929bc1a836fd57542f287a4a
NHD_H_0303_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956b741e4b0d1f9f050dc28?f=__disk__0f%2F62%2F34%2F0f6234854b4e324ec2e2b761905b767f84f85392,79b44b5a2c33d5b29ba89bb13fbaab76
NHD_H_0304_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956b7b1e4b0d1f9f050dc2d?f=__disk__99%2F1b%2F37%2F991b37a014b37bdbcf504dd743124d3a7f8c43b6,0a3d45dcdc52d76b0a04630145a09e45
NHD_H_0305_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956b851e4b0d1f9f050dc3a?f=__disk__6b%2F24%2F3d%2F6b243d5e619b713abf149317a75e20eef43c2c63,6b89a2bad5d2c57c69d4f3af85a81aba
NHD_H_0306_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956b918e4b0d1f9f050dc67?f=__disk__14%2F76%2Fa3%2F1476a331bad1276520bce7ac3b539e8ef4e80a50,31a8118d2c5802c7e6ca5a2e7c456ae2
NHD_H_0307_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956b9a3e4b0d1f9f050dcdd?f=__disk__51%2F8b%2F3f%2F518b3fd8599c47b4b97e34cb90d0c944a4cfd055,276c59fe89da4fff64ffead087eba534
NHD_H_0308_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956ba60e4b0d1f9f050dcee?f=__disk__69%2F8a%2F6f%2F698a6fdf2d57b9877580623fe3e9fa0e664eb621,f2c175419e0508564dd4394fd143f089
NHD_H_0309_Shape.zip,https://www.sciencebase.gov/catalog/file/get/5956bac0e4b0d1f9f050dcf9?f=__disk__9b%2F2c%2F4f%2F9b2c4f7ec30c099e63bd3d39298e3cb303aa7050,369fef5b4e527759e9102cc0b20655e8
